name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,geometry,out_degree,in_degree,degree
,3563,4387303308,,,,,,,-96.8263822,43.5244626,,,,POINT(-96.8263822 43.5244626),3.0,3.0,6.0
,3564,4387303306,,,,,,,-96.8263966,43.5228483,,,,POINT(-96.8263966 43.5228483),3.0,3.0,6.0
,3565,80661679,,,,,,,-96.6690799,43.529378,,,,POINT(-96.6690799 43.529378),4.0,4.0,8.0
,3566,80729839,,,,,,,-96.6690812,43.5297932,,,,POINT(-96.6690812 43.5297932),3.0,3.0,6.0
,3567,80729843,,,,,,,-96.669199,43.529963,,,,POINT(-96.669199 43.529963),3.0,3.0,6.0
,3568,80729874,,,,,,,-96.669197,43.53159,,,,POINT(-96.669197 43.53159),3.0,3.0,6.0
,3569,80729899,,,,,,,-96.6680623,43.5314814,,,,POINT(-96.6680623 43.5314814),3.0,3.0,6.0
,3570,80729912,,,,,,,-96.6676988,43.5307949,,,,POINT(-96.6676988 43.5307949),3.0,3.0,6.0
,3571,80729922,,,,,,,-96.6681716,43.5300587,,,,POINT(-96.6681716 43.5300587),3.0,3.0,6.0
,3572,80729939,,,,,,,-96.768448,43.502009,,,,POINT(-96.768448 43.502009),4.0,4.0,8.0
,3573,80670960,,,,,,,-96.7710324,43.5019614,,,,POINT(-96.7710324 43.5019614),3.0,3.0,6.0
,3574,80729968,,,,,,,-96.80608,43.501733,,,,POINT(-96.80608 43.501733),4.0,4.0,8.0
,3575,80729999,,,,,,,-96.8026744,43.5021875,,,,POINT(-96.8026744 43.5021875),2.0,2.0,4.0
,3576,80730007,,,,,,,-96.790859,43.503232,,,,POINT(-96.790859 43.503232),3.0,3.0,6.0
,3577,80730009,,,,,,,-96.7875971,43.50324,,,,POINT(-96.7875971 43.50324),3.0,3.0,6.0
,3578,80678859,,,,,,,-96.7328305,43.5525202,,,,POINT(-96.7328305 43.5525202),4.0,4.0,8.0
,3579,80730062,,,,,,,-96.7268493,43.5525346,,,,POINT(-96.7268493 43.5525346),3.0,3.0,6.0
,3580,80730064,,,,,,,-96.7283471,43.5525261,,,,POINT(-96.7283471 43.5525261),3.0,4.0,7.0
,3581,80653288,,,,,,,-96.7611792,43.5523407,,,,POINT(-96.7611792 43.5523407),3.0,3.0,6.0
,3582,80730072,,,,,,,-96.7586667,43.552342,,,,POINT(-96.7586667 43.552342),3.0,3.0,6.0
,3583,80730139,,,,,,,-96.7657034,43.5529078,,,,POINT(-96.7657034 43.5529078),2.0,2.0,4.0
