name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type,out_degree,in_degree,degree
767520,1000043,1000043,-96.67152983,43.52961967,3,1348,bus_stop,,,,Sioux Area Metro,POINT (-96.67152983 43.52961967),0,,,3.0,3.0,6.0
767527,1000044,1000044,-96.69215064,43.53671821,3,1348,bus_stop,,,,Sioux Area Metro,POINT (-96.69215064 43.53671821),0,,,3.0,3.0,6.0
767531,1000045,1000045,-96.71235563,43.54144919,3,1348,bus_stop,,,,Sioux Area Metro,POINT (-96.71235563 43.54144919),0,,,5.0,5.0,10.0
767536,1000046,1000046,-96.75097964,43.5440212,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.75097964 43.5440212),0,,,5.0,5.0,10.0
767542,1000047,1000047,-96.77465687,43.54407839,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.77465687 43.54407839),0,,,3.0,3.0,6.0
767557,1000048,1000048,-96.7914873,43.53719502,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.7914873 43.53719502),0,,,3.0,3.0,6.0
767569,1000049,1000049,-96.79079022,43.52795569,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.79079022 43.52795569),0,,,3.0,3.0,6.0
767589,1000050,1000050,-96.81073709,43.51453183,3,1350,bus_stop,,,,Sioux Area Metro,POINT (-96.81073709 43.51453183),0,,,3.0,3.0,6.0
767599,1000051,1000051,-96.78621348,43.51439405,3,1350,bus_stop,,,,Sioux Area Metro,POINT (-96.78621348 43.51439405),0,,,3.0,3.0,6.0
767603,1000052,1000052,-96.77264943,43.52054731,3,19552,bus_stop,,,,Sioux Area Metro,POINT (-96.77264943 43.52054731),1,,,4.0,4.0,8.0
767611,1000053,1000053,-96.76058267,43.55845799,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.76058267 43.55845799),0,,,2.0,2.0,4.0
