link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000029,1500029,1500030,bus,1,1344.2,1,service_links,1364.975242760528,1,999999,20.47462864140792,0.0,4.0,999999,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.71606984 43.534681109999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1.0,1344.2:1;5;11;16;23;26
1000030,1500030,1500031,bus,1,1344.2,1,service_links,1818.5931021864492,1,999999,21.823117226237397,0.0,5.0,999999,0.15,4,0,"LINESTRING (-96.71606984 43.534681109999994, -96.71145996 43.51867128999999)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,5.0,1344.2:1;5;11;16;23;26
1000031,1500031,1500032,bus,1,1344.2,1,service_links,1203.1399386998175,1,999999,18.047099080497265,0.0,4.0,999999,0.15,4,0,"LINESTRING (-96.71145996 43.51867128999999, -96.72628099 43.517420689999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,11.0,1344.2:1;5;11;16;23;26
1000032,1500032,1500033,bus,1,1344.2,1,service_links,2108.7459272612414,1,999999,25.304951127134892,0.0,5.0,999999,0.15,4,0,"LINESTRING (-96.72628099 43.517420689999994, -96.72633317 43.53638505999999)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,16.0,1344.2:1;5;11;16;23;26
1000033,1500033,1500029,bus,1,1344.2,1,service_links,945.7102168976348,1,999999,18.914204337952693,0.0,3.0,999999,0.15,4,0,"LINESTRING (-96.72633317 43.53638505999999, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,23.0,1344.2:1;5;11;16;23;26
1000034,1500034,1500036,bus,1,1345.2,1,service_links,2652.266771571843,2,999999,17.681778477145617,0.0,9.0,1999998,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.75163272 43.55938369)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1.0,1345.2:1;12;17;24
1000035,1500036,1500037,bus,1,1345.2,1,service_links,1066.1742875432965,2,999999,12.794091450519558,0.0,5.0,1999998,0.15,4,0,"LINESTRING (-96.75163272 43.55938369, -96.73879821 43.561715469999996)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,12.0,1345.2:1;12;17;24
1000036,1500037,1500034,bus,1,1345.2,1,service_links,2157.44733746151,2,999999,14.382982249743398,0.0,9.0,1999998,0.15,4,0,"LINESTRING (-96.73879821 43.561715469999996, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,17.0,1345.2:1;12;17;24
1000037,1500035,1500035,bus,1,1345.2,1,service_links,0.0,2,999999,0.0,0.0,23.0,1999998,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1.0,1345.2:1;24
1000038,1500038,1500038,bus,1,1346.2,1,service_links,0.0,2,999999,0.0,0.0,52.0,1999998,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1.0,1346.2:1;43
