param,value
11_agency1_equity_change_income,"tf.Tensor(-6.9076066, shape=(), dtype=float32)"
11_agency1_adjusted_transit_revenue,"tf.Tensor(931.0764, shape=(), dtype=float32)"
12_agency1_adjusted_equity_index,"tf.Tensor(0.0029555615, shape=(), dtype=float32)"
12_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0029555615, shape=(), dtype=float32)"
12_agency1_equity_improvement,"tf.Tensor(0.0006361611, shape=(), dtype=float32)"
12_agency1_equity_gap,"tf.Tensor(-8.21834e-05, shape=(), dtype=float32)"
12_agency1_TEC_demand,"tf.Tensor(-8.21834, shape=(), dtype=float32)"
12_agency1_total_subsidy,"tf.Tensor(115.16066, shape=(), dtype=float32)"
12_agency1_adjusted_transit_income,"tf.Tensor(1051.5311, shape=(), dtype=float32)"
12_agency1_equity_change_income,"tf.Tensor(-5.4026737, shape=(), dtype=float32)"
12_agency1_adjusted_transit_revenue,"tf.Tensor(930.96783, shape=(), dtype=float32)"
13_agency1_adjusted_equity_index,"tf.Tensor(0.0029318128, shape=(), dtype=float32)"
13_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0029318128, shape=(), dtype=float32)"
13_agency1_equity_improvement,"tf.Tensor(0.0006599098, shape=(), dtype=float32)"
13_agency1_equity_gap,"tf.Tensor(-5.843467e-05, shape=(), dtype=float32)"
13_agency1_TEC_demand,"tf.Tensor(-5.843467, shape=(), dtype=float32)"
13_agency1_total_subsidy,"tf.Tensor(120.26453, shape=(), dtype=float32)"
13_agency1_adjusted_transit_income,"tf.Tensor(1055.058, shape=(), dtype=float32)"
13_agency1_equity_change_income,"tf.Tensor(-3.8894744, shape=(), dtype=float32)"
13_agency1_adjusted_transit_revenue,"tf.Tensor(930.904, shape=(), dtype=float32)"
14_agency1_adjusted_equity_index,"tf.Tensor(0.0029312707, shape=(), dtype=float32)"
14_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0029312707, shape=(), dtype=float32)"
14_agency1_equity_improvement,"tf.Tensor(0.0006604518, shape=(), dtype=float32)"
14_agency1_equity_gap,"tf.Tensor(-5.789264e-05, shape=(), dtype=float32)"
14_agency1_TEC_demand,"tf.Tensor(-5.789264, shape=(), dtype=float32)"
14_agency1_total_subsidy,"tf.Tensor(120.37619, shape=(), dtype=float32)"
14_agency1_adjusted_transit_income,"tf.Tensor(1055.1293, shape=(), dtype=float32)"
14_agency1_equity_change_income,"tf.Tensor(-3.8872254, shape=(), dtype=float32)"
14_agency1_adjusted_transit_revenue,"tf.Tensor(930.86584, shape=(), dtype=float32)"
15_agency1_adjusted_equity_index,"tf.Tensor(0.002908744, shape=(), dtype=float32)"
15_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002908744, shape=(), dtype=float32)"
15_agency1_equity_improvement,"tf.Tensor(0.00068297866, shape=(), dtype=float32)"
15_agency1_equity_gap,"tf.Tensor(-3.536581e-05, shape=(), dtype=float32)"
15_agency1_TEC_demand,"tf.Tensor(-3.536581, shape=(), dtype=float32)"
15_agency1_total_subsidy,"tf.Tensor(121.5123, shape=(), dtype=float32)"
15_agency1_adjusted_transit_income,"tf.Tensor(1054.7275, shape=(), dtype=float32)"
15_agency1_equity_change_income,"tf.Tensor(-2.3951266, shape=(), dtype=float32)"
15_agency1_adjusted_transit_revenue,"tf.Tensor(930.82007, shape=(), dtype=float32)"
16_agency1_adjusted_equity_index,"tf.Tensor(0.0029317513, shape=(), dtype=float32)"
16_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0029317513, shape=(), dtype=float32)"
16_agency1_equity_improvement,"tf.Tensor(0.00065997127, shape=(), dtype=float32)"
16_agency1_equity_gap,"tf.Tensor(-5.8373204e-05, shape=(), dtype=float32)"
