param,value
69_agency1_TEC_demand,"tf.Tensor(1.1688331, shape=(), dtype=float32)"
69_agency1_total_subsidy,"tf.Tensor(128.59677, shape=(), dtype=float32)"
69_agency1_adjusted_transit_income,"tf.Tensor(1058.5057, shape=(), dtype=float32)"
69_agency1_equity_change_income,"tf.Tensor(0.83582556, shape=(), dtype=float32)"
69_agency1_adjusted_transit_revenue,"tf.Tensor(930.74475, shape=(), dtype=float32)"
70_agency1_adjusted_equity_index,"tf.Tensor(0.002883995, shape=(), dtype=float32)"
70_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002883995, shape=(), dtype=float32)"
70_agency1_equity_improvement,"tf.Tensor(0.0007077276, shape=(), dtype=float32)"
70_agency1_equity_gap,"tf.Tensor(-1.06168445e-05, shape=(), dtype=float32)"
70_agency1_TEC_demand,"tf.Tensor(-1.0616845, shape=(), dtype=float32)"
70_agency1_total_subsidy,"tf.Tensor(127.44206, shape=(), dtype=float32)"
70_agency1_adjusted_transit_income,"tf.Tensor(1058.9413, shape=(), dtype=float32)"
70_agency1_equity_change_income,"tf.Tensor(-0.7579632, shape=(), dtype=float32)"
70_agency1_adjusted_transit_revenue,"tf.Tensor(930.7413, shape=(), dtype=float32)"
71_agency1_adjusted_equity_index,"tf.Tensor(0.0028614402, shape=(), dtype=float32)"
71_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028614402, shape=(), dtype=float32)"
71_agency1_equity_improvement,"tf.Tensor(0.0007302824, shape=(), dtype=float32)"
71_agency1_equity_gap,"tf.Tensor(1.1937926e-05, shape=(), dtype=float32)"
71_agency1_TEC_demand,"tf.Tensor(1.1937926, shape=(), dtype=float32)"
71_agency1_total_subsidy,"tf.Tensor(128.63185, shape=(), dtype=float32)"
71_agency1_adjusted_transit_income,"tf.Tensor(1058.525, shape=(), dtype=float32)"
71_agency1_equity_change_income,"tf.Tensor(0.85354596, shape=(), dtype=float32)"
71_agency1_adjusted_transit_revenue,"tf.Tensor(930.7467, shape=(), dtype=float32)"
72_agency1_adjusted_equity_index,"tf.Tensor(0.0028838813, shape=(), dtype=float32)"
72_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028838813, shape=(), dtype=float32)"
72_agency1_equity_improvement,"tf.Tensor(0.00070784125, shape=(), dtype=float32)"
72_agency1_equity_gap,"tf.Tensor(-1.0503223e-05, shape=(), dtype=float32)"
72_agency1_TEC_demand,"tf.Tensor(-1.0503223, shape=(), dtype=float32)"
72_agency1_total_subsidy,"tf.Tensor(127.47193, shape=(), dtype=float32)"
72_agency1_adjusted_transit_income,"tf.Tensor(1058.9584, shape=(), dtype=float32)"
72_agency1_equity_change_income,"tf.Tensor(-0.7497127, shape=(), dtype=float32)"
72_agency1_adjusted_transit_revenue,"tf.Tensor(930.73676, shape=(), dtype=float32)"
73_agency1_adjusted_equity_index,"tf.Tensor(0.002861172, shape=(), dtype=float32)"
73_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002861172, shape=(), dtype=float32)"
73_agency1_equity_improvement,"tf.Tensor(0.0007305506, shape=(), dtype=float32)"
73_agency1_equity_gap,"tf.Tensor(1.22061465e-05, shape=(), dtype=float32)"
73_agency1_TEC_demand,"tf.Tensor(1.2206147, shape=(), dtype=float32)"
73_agency1_total_subsidy,"tf.Tensor(128.66168, shape=(), dtype=float32)"
73_agency1_adjusted_transit_income,"tf.Tensor(1058.542, shape=(), dtype=float32)"
73_agency1_equity_change_income,"tf.Tensor(0.8725482, shape=(), dtype=float32)"
73_agency1_adjusted_transit_revenue,"tf.Tensor(930.75287, shape=(), dtype=float32)"
74_agency1_adjusted_equity_index,"tf.Tensor(0.0028837249, shape=(), dtype=float32)"
74_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028837249, shape=(), dtype=float32)"
74_agency1_equity_improvement,"tf.Tensor(0.0007079977, shape=(), dtype=float32)"
74_agency1_equity_gap,"tf.Tensor(-1.0346761e-05, shape=(), dtype=float32)"
74_agency1_TEC_demand,"tf.Tensor(-1.0346761, shape=(), dtype=float32)"
74_agency1_total_subsidy,"tf.Tensor(127.49771, shape=(), dtype=float32)"
74_agency1_adjusted_transit_income,"tf.Tensor(1058.9734, shape=(), dtype=float32)"
74_agency1_equity_change_income,"tf.Tensor(-0.73836833, shape=(), dtype=float32)"
74_agency1_adjusted_transit_revenue,"tf.Tensor(930.73737, shape=(), dtype=float32)"
75_agency1_adjusted_equity_index,"tf.Tensor(0.0028611068, shape=(), dtype=float32)"
75_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028611068, shape=(), dtype=float32)"
75_agency1_equity_improvement,"tf.Tensor(0.0007306158, shape=(), dtype=float32)"
75_agency1_equity_gap,"tf.Tensor(1.2271339e-05, shape=(), dtype=float32)"
75_agency1_TEC_demand,"tf.Tensor(1.2271339, shape=(), dtype=float32)"
75_agency1_total_subsidy,"tf.Tensor(128.68736, shape=(), dtype=float32)"
75_agency1_adjusted_transit_income,"tf.Tensor(1058.5568, shape=(), dtype=float32)"
75_agency1_equity_change_income,"tf.Tensor(0.87698025, shape=(), dtype=float32)"
75_agency1_adjusted_transit_revenue,"tf.Tensor(930.74634, shape=(), dtype=float32)"
76_agency1_adjusted_equity_index,"tf.Tensor(0.00288352, shape=(), dtype=float32)"
76_agency1_internal_adjusted_equity_index,"tf.Tensor(0.00288352, shape=(), dtype=float32)"
76_agency1_equity_improvement,"tf.Tensor(0.0007082026, shape=(), dtype=float32)"
76_agency1_equity_gap,"tf.Tensor(-1.014187e-05, shape=(), dtype=float32)"
76_agency1_TEC_demand,"tf.Tensor(-1.014187, shape=(), dtype=float32)"
76_agency1_total_subsidy,"tf.Tensor(127.520096, shape=(), dtype=float32)"
76_agency1_adjusted_transit_income,"tf.Tensor(1058.9867, shape=(), dtype=float32)"
76_agency1_equity_change_income,"tf.Tensor(-0.72355175, shape=(), dtype=float32)"
76_agency1_adjusted_transit_revenue,"tf.Tensor(930.74304, shape=(), dtype=float32)"
77_agency1_adjusted_equity_index,"tf.Tensor(0.0028609373, shape=(), dtype=float32)"
77_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028609373, shape=(), dtype=float32)"
77_agency1_equity_improvement,"tf.Tensor(0.0007307853, shape=(), dtype=float32)"
77_agency1_equity_gap,"tf.Tensor(1.244084e-05, shape=(), dtype=float32)"
77_agency1_TEC_demand,"tf.Tensor(1.244084, shape=(), dtype=float32)"
77_agency1_total_subsidy,"tf.Tensor(128.70966, shape=(), dtype=float32)"
77_agency1_adjusted_transit_income,"tf.Tensor(1058.57, shape=(), dtype=float32)"
77_agency1_equity_change_income,"tf.Tensor(0.8888289, shape=(), dtype=float32)"
77_agency1_adjusted_transit_revenue,"tf.Tensor(930.74915, shape=(), dtype=float32)"
78_agency1_adjusted_equity_index,"tf.Tensor(0.0028834343, shape=(), dtype=float32)"
78_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028834343, shape=(), dtype=float32)"
78_agency1_equity_improvement,"tf.Tensor(0.0007082883, shape=(), dtype=float32)"
78_agency1_equity_gap,"tf.Tensor(-1.0056188e-05, shape=(), dtype=float32)"
78_agency1_TEC_demand,"tf.Tensor(-1.0056188, shape=(), dtype=float32)"
78_agency1_total_subsidy,"tf.Tensor(127.539734, shape=(), dtype=float32)"
78_agency1_adjusted_transit_income,"tf.Tensor(1058.9985, shape=(), dtype=float32)"
78_agency1_equity_change_income,"tf.Tensor(-0.7172077, shape=(), dtype=float32)"
78_agency1_adjusted_transit_revenue,"tf.Tensor(930.7416, shape=(), dtype=float32)"
79_agency1_adjusted_equity_index,"tf.Tensor(0.0028608497, shape=(), dtype=float32)"
79_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028608497, shape=(), dtype=float32)"
79_agency1_equity_improvement,"tf.Tensor(0.00073087285, shape=(), dtype=float32)"
79_agency1_equity_gap,"tf.Tensor(1.2528384e-05, shape=(), dtype=float32)"
79_agency1_TEC_demand,"tf.Tensor(1.2528384, shape=(), dtype=float32)"
79_agency1_total_subsidy,"tf.Tensor(128.72917, shape=(), dtype=float32)"
79_agency1_adjusted_transit_income,"tf.Tensor(1058.5818, shape=(), dtype=float32)"
79_agency1_equity_change_income,"tf.Tensor(0.8947847, shape=(), dtype=float32)"
79_agency1_adjusted_transit_revenue,"tf.Tensor(930.7474, shape=(), dtype=float32)"
80_agency1_adjusted_equity_index,"tf.Tensor(0.002883371, shape=(), dtype=float32)"
80_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002883371, shape=(), dtype=float32)"
80_agency1_equity_improvement,"tf.Tensor(0.0007083516, shape=(), dtype=float32)"
80_agency1_equity_gap,"tf.Tensor(-9.992858e-06, shape=(), dtype=float32)"
80_agency1_TEC_demand,"tf.Tensor(-0.9992858, shape=(), dtype=float32)"
80_agency1_total_subsidy,"tf.Tensor(127.55711, shape=(), dtype=float32)"
80_agency1_adjusted_transit_income,"tf.Tensor(1059.0095, shape=(), dtype=float32)"
80_agency1_equity_change_income,"tf.Tensor(-0.712444, shape=(), dtype=float32)"
80_agency1_adjusted_transit_revenue,"tf.Tensor(930.7399, shape=(), dtype=float32)"
81_agency1_adjusted_equity_index,"tf.Tensor(0.0028607454, shape=(), dtype=float32)"
81_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028607454, shape=(), dtype=float32)"
81_agency1_equity_improvement,"tf.Tensor(0.00073097716, shape=(), dtype=float32)"
81_agency1_equity_gap,"tf.Tensor(1.2632692e-05, shape=(), dtype=float32)"
81_agency1_TEC_demand,"tf.Tensor(1.2632692, shape=(), dtype=float32)"
81_agency1_total_subsidy,"tf.Tensor(128.74641, shape=(), dtype=float32)"
81_agency1_adjusted_transit_income,"tf.Tensor(1058.5925, shape=(), dtype=float32)"
81_agency1_equity_change_income,"tf.Tensor(0.9019142, shape=(), dtype=float32)"
81_agency1_adjusted_transit_revenue,"tf.Tensor(930.74805, shape=(), dtype=float32)"
82_agency1_adjusted_equity_index,"tf.Tensor(0.0028832518, shape=(), dtype=float32)"
82_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028832518, shape=(), dtype=float32)"
82_agency1_equity_improvement,"tf.Tensor(0.0007084708, shape=(), dtype=float32)"
82_agency1_equity_gap,"tf.Tensor(-9.873649e-06, shape=(), dtype=float32)"
82_agency1_TEC_demand,"tf.Tensor(-0.9873649, shape=(), dtype=float32)"
82_agency1_total_subsidy,"tf.Tensor(127.5726, shape=(), dtype=float32)"
82_agency1_adjusted_transit_income,"tf.Tensor(1059.0193, shape=(), dtype=float32)"
82_agency1_equity_change_income,"tf.Tensor(-0.7036843, shape=(), dtype=float32)"
82_agency1_adjusted_transit_revenue,"tf.Tensor(930.743, shape=(), dtype=float32)"
83_agency1_adjusted_equity_index,"tf.Tensor(0.0028606448, shape=(), dtype=float32)"
83_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028606448, shape=(), dtype=float32)"
83_agency1_equity_improvement,"tf.Tensor(0.00073107774, shape=(), dtype=float32)"
83_agency1_equity_gap,"tf.Tensor(1.2733275e-05, shape=(), dtype=float32)"
83_agency1_TEC_demand,"tf.Tensor(1.2733275, shape=(), dtype=float32)"
83_agency1_total_subsidy,"tf.Tensor(128.76173, shape=(), dtype=float32)"
83_agency1_adjusted_transit_income,"tf.Tensor(1058.6022, shape=(), dtype=float32)"
83_agency1_equity_change_income,"tf.Tensor(0.9087439, shape=(), dtype=float32)"
83_agency1_adjusted_transit_revenue,"tf.Tensor(930.7492, shape=(), dtype=float32)"
84_agency1_adjusted_equity_index,"tf.Tensor(0.0028832424, shape=(), dtype=float32)"
84_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028832424, shape=(), dtype=float32)"
84_agency1_equity_improvement,"tf.Tensor(0.00070848013, shape=(), dtype=float32)"
84_agency1_equity_gap,"tf.Tensor(-9.864336e-06, shape=(), dtype=float32)"
84_agency1_TEC_demand,"tf.Tensor(-0.98643357, shape=(), dtype=float32)"
84_agency1_total_subsidy,"tf.Tensor(127.58649, shape=(), dtype=float32)"
84_agency1_adjusted_transit_income,"tf.Tensor(1059.0283, shape=(), dtype=float32)"
84_agency1_equity_change_income,"tf.Tensor(-0.7027384, shape=(), dtype=float32)"
84_agency1_adjusted_transit_revenue,"tf.Tensor(930.7391, shape=(), dtype=float32)"
85_agency1_adjusted_equity_index,"tf.Tensor(0.0028606355, shape=(), dtype=float32)"
85_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028606355, shape=(), dtype=float32)"
85_agency1_equity_improvement,"tf.Tensor(0.00073108706, shape=(), dtype=float32)"
85_agency1_equity_gap,"tf.Tensor(1.2742588e-05, shape=(), dtype=float32)"
85_agency1_TEC_demand,"tf.Tensor(1.2742589, shape=(), dtype=float32)"
85_agency1_total_subsidy,"tf.Tensor(128.77542, shape=(), dtype=float32)"
85_agency1_adjusted_transit_income,"tf.Tensor(1058.6111, shape=(), dtype=float32)"
85_agency1_equity_change_income,"tf.Tensor(0.9090431, shape=(), dtype=float32)"
85_agency1_adjusted_transit_revenue,"tf.Tensor(930.74475, shape=(), dtype=float32)"
86_agency1_adjusted_equity_index,"tf.Tensor(0.0028831419, shape=(), dtype=float32)"
86_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028831419, shape=(), dtype=float32)"
86_agency1_equity_improvement,"tf.Tensor(0.0007085807, shape=(), dtype=float32)"
86_agency1_equity_gap,"tf.Tensor(-9.763753e-06, shape=(), dtype=float32)"
86_agency1_TEC_demand,"tf.Tensor(-0.9763753, shape=(), dtype=float32)"
86_agency1_total_subsidy,"tf.Tensor(127.59894, shape=(), dtype=float32)"
86_agency1_adjusted_transit_income,"tf.Tensor(1059.0366, shape=(), dtype=float32)"
86_agency1_equity_change_income,"tf.Tensor(-0.6952918, shape=(), dtype=float32)"
86_agency1_adjusted_transit_revenue,"tf.Tensor(930.7424, shape=(), dtype=float32)"
87_agency1_adjusted_equity_index,"tf.Tensor(0.0028605368, shape=(), dtype=float32)"
87_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028605368, shape=(), dtype=float32)"
87_agency1_equity_improvement,"tf.Tensor(0.0007311858, shape=(), dtype=float32)"
87_agency1_equity_gap,"tf.Tensor(1.28413085e-05, shape=(), dtype=float32)"
87_agency1_TEC_demand,"tf.Tensor(1.2841308, shape=(), dtype=float32)"
87_agency1_total_subsidy,"tf.Tensor(128.7877, shape=(), dtype=float32)"
87_agency1_adjusted_transit_income,"tf.Tensor(1058.6191, shape=(), dtype=float32)"
87_agency1_equity_change_income,"tf.Tensor(0.9157031, shape=(), dtype=float32)"
87_agency1_adjusted_transit_revenue,"tf.Tensor(930.74713, shape=(), dtype=float32)"
88_agency1_adjusted_equity_index,"tf.Tensor(0.0028831717, shape=(), dtype=float32)"
88_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028831717, shape=(), dtype=float32)"
88_agency1_equity_improvement,"tf.Tensor(0.0007085509, shape=(), dtype=float32)"
88_agency1_equity_gap,"tf.Tensor(-9.793555e-06, shape=(), dtype=float32)"
88_agency1_TEC_demand,"tf.Tensor(-0.9793555, shape=(), dtype=float32)"
88_agency1_total_subsidy,"tf.Tensor(127.6102, shape=(), dtype=float32)"
88_agency1_adjusted_transit_income,"tf.Tensor(1059.0443, shape=(), dtype=float32)"
88_agency1_equity_change_income,"tf.Tensor(-0.69711274, shape=(), dtype=float32)"
88_agency1_adjusted_transit_revenue,"tf.Tensor(930.737, shape=(), dtype=float32)"
89_agency1_adjusted_equity_index,"tf.Tensor(0.0028605666, shape=(), dtype=float32)"
89_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028605666, shape=(), dtype=float32)"
89_agency1_equity_improvement,"tf.Tensor(0.000731156, shape=(), dtype=float32)"
89_agency1_equity_gap,"tf.Tensor(1.2811506e-05, shape=(), dtype=float32)"
89_agency1_TEC_demand,"tf.Tensor(1.2811506, shape=(), dtype=float32)"
89_agency1_total_subsidy,"tf.Tensor(128.79875, shape=(), dtype=float32)"
89_agency1_adjusted_transit_income,"tf.Tensor(1058.6268, shape=(), dtype=float32)"
89_agency1_equity_change_income,"tf.Tensor(0.91318744, shape=(), dtype=float32)"
89_agency1_adjusted_transit_revenue,"tf.Tensor(930.7413, shape=(), dtype=float32)"
90_agency1_adjusted_equity_index,"tf.Tensor(0.0028830376, shape=(), dtype=float32)"
90_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028830376, shape=(), dtype=float32)"
90_agency1_equity_improvement,"tf.Tensor(0.000708685, shape=(), dtype=float32)"
90_agency1_equity_gap,"tf.Tensor(-9.659445e-06, shape=(), dtype=float32)"
90_agency1_TEC_demand,"tf.Tensor(-0.96594447, shape=(), dtype=float32)"
90_agency1_total_subsidy,"tf.Tensor(127.620346, shape=(), dtype=float32)"
90_agency1_adjusted_transit_income,"tf.Tensor(1059.0513, shape=(), dtype=float32)"
90_agency1_equity_change_income,"tf.Tensor(-0.6872751, shape=(), dtype=float32)"
90_agency1_adjusted_transit_revenue,"tf.Tensor(930.74365, shape=(), dtype=float32)"
91_agency1_adjusted_equity_index,"tf.Tensor(0.0028604623, shape=(), dtype=float32)"
91_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028604623, shape=(), dtype=float32)"
91_agency1_equity_improvement,"tf.Tensor(0.0007312603, shape=(), dtype=float32)"
91_agency1_equity_gap,"tf.Tensor(1.2915814e-05, shape=(), dtype=float32)"
91_agency1_TEC_demand,"tf.Tensor(1.2915814, shape=(), dtype=float32)"
91_agency1_total_subsidy,"tf.Tensor(128.80867, shape=(), dtype=float32)"
91_agency1_adjusted_transit_income,"tf.Tensor(1058.6338, shape=(), dtype=float32)"
91_agency1_equity_change_income,"tf.Tensor(0.9202153, shape=(), dtype=float32)"
91_agency1_adjusted_transit_revenue,"tf.Tensor(930.74536, shape=(), dtype=float32)"
92_agency1_adjusted_equity_index,"tf.Tensor(0.0028829724, shape=(), dtype=float32)"
92_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028829724, shape=(), dtype=float32)"
92_agency1_equity_improvement,"tf.Tensor(0.0007087502, shape=(), dtype=float32)"
92_agency1_equity_gap,"tf.Tensor(-9.594252e-06, shape=(), dtype=float32)"
92_agency1_TEC_demand,"tf.Tensor(-0.9594252, shape=(), dtype=float32)"
92_agency1_total_subsidy,"tf.Tensor(127.62955, shape=(), dtype=float32)"
92_agency1_adjusted_transit_income,"tf.Tensor(1059.058, shape=(), dtype=float32)"
92_agency1_equity_change_income,"tf.Tensor(-0.68232423, shape=(), dtype=float32)"
92_agency1_adjusted_transit_revenue,"tf.Tensor(930.74615, shape=(), dtype=float32)"
93_agency1_adjusted_equity_index,"tf.Tensor(0.0028604418, shape=(), dtype=float32)"
93_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028604418, shape=(), dtype=float32)"
93_agency1_equity_improvement,"tf.Tensor(0.0007312808, shape=(), dtype=float32)"
93_agency1_equity_gap,"tf.Tensor(1.2936303e-05, shape=(), dtype=float32)"
93_agency1_TEC_demand,"tf.Tensor(1.2936304, shape=(), dtype=float32)"
93_agency1_total_subsidy,"tf.Tensor(128.81763, shape=(), dtype=float32)"
93_agency1_adjusted_transit_income,"tf.Tensor(1058.6403, shape=(), dtype=float32)"
93_agency1_equity_change_income,"tf.Tensor(0.9212454, shape=(), dtype=float32)"
93_agency1_adjusted_transit_revenue,"tf.Tensor(930.7439, shape=(), dtype=float32)"
94_agency1_adjusted_equity_index,"tf.Tensor(0.0028830208, shape=(), dtype=float32)"
94_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028830208, shape=(), dtype=float32)"
94_agency1_equity_improvement,"tf.Tensor(0.0007087018, shape=(), dtype=float32)"
94_agency1_equity_gap,"tf.Tensor(-9.642681e-06, shape=(), dtype=float32)"
94_agency1_TEC_demand,"tf.Tensor(-0.9642681, shape=(), dtype=float32)"
94_agency1_total_subsidy,"tf.Tensor(127.63782, shape=(), dtype=float32)"
94_agency1_adjusted_transit_income,"tf.Tensor(1059.0642, shape=(), dtype=float32)"
94_agency1_equity_change_income,"tf.Tensor(-0.6854461, shape=(), dtype=float32)"
94_agency1_adjusted_transit_revenue,"tf.Tensor(930.74097, shape=(), dtype=float32)"
95_agency1_adjusted_equity_index,"tf.Tensor(0.0028604865, shape=(), dtype=float32)"
95_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028604865, shape=(), dtype=float32)"
95_agency1_equity_improvement,"tf.Tensor(0.00073123607, shape=(), dtype=float32)"
95_agency1_equity_gap,"tf.Tensor(1.28916e-05, shape=(), dtype=float32)"
95_agency1_TEC_demand,"tf.Tensor(1.28916, shape=(), dtype=float32)"
95_agency1_total_subsidy,"tf.Tensor(128.82562, shape=(), dtype=float32)"
95_agency1_adjusted_transit_income,"tf.Tensor(1058.6461, shape=(), dtype=float32)"
95_agency1_equity_change_income,"tf.Tensor(0.9176372, shape=(), dtype=float32)"
95_agency1_adjusted_transit_revenue,"tf.Tensor(930.73816, shape=(), dtype=float32)"
96_agency1_adjusted_equity_index,"tf.Tensor(0.0028829444, shape=(), dtype=float32)"
96_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028829444, shape=(), dtype=float32)"
96_agency1_equity_improvement,"tf.Tensor(0.00070877816, shape=(), dtype=float32)"
96_agency1_equity_gap,"tf.Tensor(-9.566313e-06, shape=(), dtype=float32)"
96_agency1_TEC_demand,"tf.Tensor(-0.95663124, shape=(), dtype=float32)"
96_agency1_total_subsidy,"tf.Tensor(127.64526, shape=(), dtype=float32)"
96_agency1_adjusted_transit_income,"tf.Tensor(1059.0698, shape=(), dtype=float32)"
96_agency1_equity_change_income,"tf.Tensor(-0.6797067, shape=(), dtype=float32)"
96_agency1_adjusted_transit_revenue,"tf.Tensor(930.7449, shape=(), dtype=float32)"
97_agency1_adjusted_equity_index,"tf.Tensor(0.0028603543, shape=(), dtype=float32)"
97_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028603543, shape=(), dtype=float32)"
97_agency1_equity_improvement,"tf.Tensor(0.0007313683, shape=(), dtype=float32)"
97_agency1_equity_gap,"tf.Tensor(1.3023848e-05, shape=(), dtype=float32)"
97_agency1_TEC_demand,"tf.Tensor(1.3023847, shape=(), dtype=float32)"
97_agency1_total_subsidy,"tf.Tensor(128.8328, shape=(), dtype=float32)"
97_agency1_adjusted_transit_income,"tf.Tensor(1058.6517, shape=(), dtype=float32)"
97_agency1_equity_change_income,"tf.Tensor(0.92661774, shape=(), dtype=float32)"
97_agency1_adjusted_transit_revenue,"tf.Tensor(930.7456, shape=(), dtype=float32)"
98_agency1_adjusted_equity_index,"tf.Tensor(0.0028829053, shape=(), dtype=float32)"
98_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028829053, shape=(), dtype=float32)"
98_agency1_equity_improvement,"tf.Tensor(0.0007088173, shape=(), dtype=float32)"
98_agency1_equity_gap,"tf.Tensor(-9.527197e-06, shape=(), dtype=float32)"
98_agency1_TEC_demand,"tf.Tensor(-0.9527197, shape=(), dtype=float32)"
98_agency1_total_subsidy,"tf.Tensor(127.65194, shape=(), dtype=float32)"
98_agency1_adjusted_transit_income,"tf.Tensor(1059.0751, shape=(), dtype=float32)"
98_agency1_equity_change_income,"tf.Tensor(-0.676598, shape=(), dtype=float32)"
98_agency1_adjusted_transit_revenue,"tf.Tensor(930.7466, shape=(), dtype=float32)"
99_agency1_adjusted_equity_index,"tf.Tensor(0.0028603077, shape=(), dtype=float32)"
99_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028603077, shape=(), dtype=float32)"
99_agency1_equity_improvement,"tf.Tensor(0.0007314149, shape=(), dtype=float32)"
99_agency1_equity_gap,"tf.Tensor(1.3070414e-05, shape=(), dtype=float32)"
99_agency1_TEC_demand,"tf.Tensor(1.3070414, shape=(), dtype=float32)"
99_agency1_total_subsidy,"tf.Tensor(128.83916, shape=(), dtype=float32)"
99_agency1_adjusted_transit_income,"tf.Tensor(1058.6567, shape=(), dtype=float32)"
99_agency1_equity_change_income,"tf.Tensor(0.92947376, shape=(), dtype=float32)"
99_agency1_adjusted_transit_revenue,"tf.Tensor(930.747, shape=(), dtype=float32)"
